Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
1910.5,1,2,120,1869.5,BANCO COMAFI S.A.,,No,17:00:02,1974.0,1909.5,8167640,1694.0,1936.4167,1945.996,2357.0,AAL,1,Pesos,1973.0,5.54,48hs,4224
6.68,2,10,5,6.24,,,No,17:00:02,6.68,6.55,279,6.1,6.642,6.6242,6.73,AALD,1,Du00f3lar efectivo,6.63,6.25,48hs,42
4250.0,9,5,838,4241.0,BANCO COMAFI S.A.,,No,17:00:01,4329.5,4241.0,342775518,4241.0,4271.1026,4269.2957,4305.0,AAPL,-1,Pesos,4259.0,0.42,48hs,80302
14.95,8,30,78,14.7,,,No,17:00:02,15.0,14.45,56789,14.3,14.6686,14.6525,17.0,AAPLD,-1,Du00f3lar efectivo,14.5,-1.36,48hs,3883
4378.0,1,1,53,4322.5,BANCO COMAFI S.A.,,No,17:00:02,4422.0,4301.0,6418389,4100.0,4341.4151,4333.1113,4414.0,ABBV,-1,Pesos,4317.5,-0.12,48hs,1480
0.0,7,7,,0.0,,,No,,0.0,0.0,0,14.05,0.0,0.0,15.0,ABBVD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2562.5,1498,1,5,2555.0,BANCO COMAFI S.A.,,No,17:00:02,2571.0,2546.0,324818,2515.0,2557.5,2557.7454,3000.0,ABEV,1,Pesos,2571.0,0.63,48hs,127
2188.0,1,130,71,2187.5,Caja de Valores S.A.,,No,17:00:02,2316.5,2187.5,3235124,2000.0,2276.3873,2290.8127,2323.0,ABNB,1,Pesos,2299.5,5.12,48hs,1435
0.0,1335,9,,0.0,,,No,,0.0,0.0,0,7.78,0.0,0.0,8.1,ABNBD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7737.5,1,17,29,7802.0,BANCO COMAFI S.A.,,No,17:00:01,7752.0,7697.0,2839527,7000.0,7727.9828,7719.6972,8000.0,ABT,1,Pesos,7736.5,-0.84,48hs,368
0.0,3,3,,0.0,,,No,,0.0,0.0,0,25.05,0.0,0.0,40.0,ABTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2126.0,1,4,6,2205.5,,,No,17:00:02,2130.0,2126.0,72408,2126.0,2128.6667,2129.8261,2500.0,ACHHY,0,Pesos,2130.0,-3.42,48hs,34
3964.0,2,4,80,3945.0,BANCO COMAFI S.A.,,No,17:00:02,4048.5,3964.0,4228304,3450.0,4004.925,4013.7123,4070.0,ADBE,1,Pesos,4004.0,1.5,48hs,1059
13.65,5,5,1,14.5,,,No,17:00:02,13.65,13.65,27,13.4,13.65,13.65,15.9,ADBED,0,Du00f3lar efectivo,13.65,-5.86,48hs,2
5040.0,1,2,23,5108.0,BANCO COMAFI S.A.,,No,17:00:02,5100.0,4973.5,623676,5038.0,5029.6739,5038.9852,5400.0,ADGO,1,Pesos,5100.0,-0.16,48hs,124
0.0,0,15,,0.0,,,No,,0.0,0.0,0,0.0,0.0,0.0,28.25,ADGOD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
14225.0,7,3,19,14076.0,BANCO COMAFI S.A.,,No,17:00:01,14316.0,14211.5,15126090,13578.0,14262.2632,14265.001,17897.0,ADI,1,Pesos,14292.0,1.53,48hs,1062
0.0,105,96,,0.0,,,No,,0.0,0.0,0,48.35,0.0,0.0,48.95,ADID,0,Du00f3lar efectivo,0.0,0.0,48hs,0
11564.5,850,6,6,11587.0,BANCO COMAFI S.A.,,No,17:00:01,11600.0,11495.5,69180,11477.5,11530.0,11513.6429,11580.0,ADP,0,Pesos,11496.0,-0.79,48hs,6
1174.0,3289,6770,1,1196.5,BANCO COMAFI S.A.,,No,17:00:01,1174.0,1174.0,14088,1154.5,1174.0,1174.0,1166.0,AEG,0,Pesos,1174.0,-1.88,48hs,12
4212.0,903,1,4,4636.0,BANCO COMAFI S.A.,,No,17:00:01,4320.5,4212.0,34014,4265.0,4265.375,4280.1304,4704.0,AEM,1,Pesos,4320.5,-6.81,48hs,8
3035.0,1275,15,22,2950.5,BANCO COMAFI S.A.,,No,17:00:01,3041.5,3022.0,87860,2985.5,3029.5682,3029.5469,3333.0,AIG,1,Pesos,3027.5,2.61,48hs,29
0.0,505,0,,0.0,,,No,,0.0,0.0,0,10.3,0.0,0.0,0.0,AIGD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
3392.0,1094,2,3,3390.0,BANCO COMAFI S.A.,,No,17:00:02,3392.0,3165.5,16334,3322.0,3250.0,3216.5,3420.0,AKO.B,-1,Pesos,3165.5,-6.62,48hs,5
4660.0,1,3,15,4660.5,BANCO COMAFI S.A.,,No,17:00:01,4714.0,4660.0,5870998,3000.0,4677.8,4702.3925,4720.0,AMAT,-1,Pesos,4705.5,0.97,48hs,1250
0.0,325,0,,0.0,,,No,,0.0,0.0,0,15.95,0.0,0.0,0.0,AMATD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
35395.5,1,1,322,35010.0,BANCO COMAFI S.A.,,No,17:00:02,35836.0,34598.0,118753041,32000.0,35091.3851,35367.6623,40000.0,AMD,1,Pesos,35730.0,2.06,48hs,3373
125.0,1,3,2,123.0,,,No,17:00:02,125.0,121.0,33246,118.25,123.0,122.9962,170.0,AMDD,-1,Du00f3lar efectivo,121.0,-1.63,48hs,266
7590.5,1,1,37,7507.0,BANCO COMAFI S.A.,,No,17:00:01,7650.0,7575.0,42216122,1.0,7594.3514,7605.5667,7650.0,AMGN,1,Pesos,7650.0,1.9,48hs,5563
5086.5,1480,1,5,5116.5,BANCO COMAFI S.A.,,No,17:00:01,5086.5,5012.0,223552,5008.0,5035.8,5035.1119,5087.0,AMX,-1,Pesos,5021.0,-1.87,48hs,44
0.0,1,9,,0.0,,,No,,0.0,0.0,0,16.5,0.0,0.0,17.25,AMXD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
236.5,1,20,1386,236.5,BANCO COMAFI S.A.,,No,17:00:02,244.0,234.25,135653339,222.0,238.9297,239.6203,245.0,AMZN,0,Pesos,238.75,0.95,48hs,568268
0.803,6,108,99,0.858,,,No,17:00:02,0.829,0.803,6903,0.8,0.8187,0.8189,0.95,AMZND,1,Du00f3lar efectivo,0.818,-4.66,48hs,8440
0.0,810,1710,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,4721.0,0.0,0.0,4780.5,ANF,0,Pesos,0.0,0.0,48hs,0
4498.0,1,20,18,4444.0,BANCO COMAFI S.A.,,No,17:00:02,4498.0,4402.0,573836,3850.0,4449.9167,4439.5991,5000.0,ARCO,-1,Pesos,4403.0,-0.92,48hs,130
1110.0,1,4,237,1097.5,Caja de Valores S.A.,,No,17:00:02,1119.5,1066.5,18946528,1050.0,1095.3418,1103.9434,1200.0,ARKK,1,Pesos,1117.0,1.78,48hs,17301
3.67,3,254,7,4.15,,,No,17:00:02,3.84,3.67,11765,3.73,3.7443,3.7576,4.5,ARKKD,1,Du00f3lar efectivo,3.84,-7.47,48hs,3146
0.0,290,290,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,31675.5,0.0,0.0,31863.5,ASR,0,Pesos,0.0,0.0,48hs,0
1470.0,13,400,57,1454.0,BANCO COMAFI S.A.,,No,17:00:01,1476.0,1419.5,927646,1300.0,1440.2105,1437.3971,1600.0,AUY,0,Pesos,1441.0,-0.89,48hs,644
0.0,21,7,,0.0,,,No,,0.0,0.0,0,4.68,0.0,0.0,5.5,AUYD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
3428.0,8,6,28,3360.0,BANCO COMAFI S.A.,,No,17:00:02,3430.0,3380.0,602520,3392.0,3406.4464,3410.3963,3420.0,AVGO,-1,Pesos,3416.0,1.67,48hs,177
11.7,4,58,2,11.6,,,No,17:00:02,11.7,11.2,45,11.2,11.45,11.3,16.0,AVGOD,-1,Du00f3lar efectivo,11.2,-3.45,48hs,4
16956.0,225,550,8,17067.5,BANCO COMAFI S.A.,,No,17:00:01,16956.0,16791.0,14272661,16616.0,16815.875,16805.387,16814.5,AVY,0,Pesos,16795.0,-1.6,48hs,847
57.0,894,0,2,58.6,,,No,17:00:02,57.0,57.0,53523,57.0,57.0,57.0,0.0,AVYD,0,Du00f3lar efectivo,57.0,-2.73,48hs,939
8500.0,5,3,29,8431.5,BANCO COMAFI S.A.,,No,17:00:01,8500.0,8391.5,2458892,8391.5,8452.7931,8462.3603,9500.0,AXP,-1,Pesos,8451.5,0.24,48hs,291
0.0,4,170,,0.0,,,No,,0.0,0.0,0,27.45,0.0,0.0,29.1,AXPD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
8435.0,890,4,5,8485.5,BANCO COMAFI S.A.,,No,17:00:01,8500.0,8435.0,228960,8457.5,8478.0,8487.4519,10500.0,AZN,1,Pesos,8489.0,0.04,48hs,27
0.0,3,5,,0.0,,,No,,0.0,0.0,0,28.1,0.0,0.0,31.9,AZND,0,Du00f3lar efectivo,0.0,0.0,48hs,0
6637.0,1,12,48,6684.5,BANCO COMAFI S.A.,,No,17:00:01,6728.0,6562.5,12913584,6100.0,6622.9896,6634.2791,7100.0,BA,1,Pesos,6728.0,0.65,48hs,1953
4556.0,8,12,54,4557.0,BANCO COMAFI S.A.,,No,17:00:01,4658.0,4556.0,2095729,4300.0,4627.9259,4632.0815,5010.0,BA.C,-1,Pesos,4615.0,1.27,48hs,453
16.3,8,13,4,16.45,,,No,17:00:02,16.3,15.65,706,15.1,15.95,15.8694,16.2,BA.CD,0,Du00f3lar efectivo,15.65,-4.86,48hs,44
2604.5,6,2,231,2563.5,BANCO COMAFI S.A.,,No,17:00:02,2632.5,2552.5,19379132,2540.0,2590.8593,2593.6417,2990.0,BABA,-1,Pesos,2600.0,1.42,48hs,7482
8.98,1,4,9,8.9,,,No,17:00:02,8.98,8.89,205,8.79,8.9056,8.9029,12.2,BABAD,1,Du00f3lar efectivo,8.93,0.34,48hs,23
0.0,6,3,,0.0,,,No,,0.0,0.0,0,21.6,0.0,0.0,50.0,BAD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
431.0,36,67,23,428.5,BANCO COMAFI S.A.,,No,17:00:02,436.5,425.5,354291,432.0,432.0652,432.3669,700.0,BB,-1,Pesos,433.5,1.17,48hs,823
1168.0,1,1,287,1163.0,BANCO COMAFI S.A.,,No,17:00:01,1168.0,1129.0,10383945,1136.0,1140.2213,1139.1977,1200.0,BBD,1,Pesos,1147.0,-1.38,48hs,9123
3.97,2,4,6,4.05,,,No,17:00:02,3.97,3.89,654,3.88,3.9117,3.9135,4.9,BBDD,1,Du00f3lar efectivo,3.93,-2.96,48hs,167
1365.0,1,2,6,1354.5,BANCO COMAFI S.A.,,No,17:00:01,1371.0,1345.0,152575,1200.0,1361.1667,1361.2535,1520.0,BBV,-1,Pesos,1366.0,0.85,48hs,113
0.0,1131,0,,0.0,,,No,,0.0,0.0,0,4.59,0.0,0.0,0.0,BBVD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1866.0,28,1,6,1862.0,BANCO COMAFI S.A.,,No,17:00:01,1874.5,1837.0,20413,1777.5,1860.5833,1862.4111,2500.0,BCS,1,Pesos,1871.0,0.48,48hs,11
7651.0,1030,1030,6,7700.0,BANCO COMAFI S.A.,,No,17:00:01,7651.0,7574.0,182639,7555.0,7612.5,7601.7397,7583.0,BHP,-1,Pesos,7574.0,-1.64,48hs,24
3046.5,27,2,20,3014.0,BANCO COMAFI S.A.,,No,17:00:02,3046.5,2974.5,374609,3002.0,3002.725,3002.5373,3105.0,BIDU,-1,Pesos,3006.5,-0.25,48hs,125
0.0,9,5,,0.0,,,No,,0.0,0.0,0,9.8,0.0,0.0,10.45,BIDUD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
5948.0,2,15,23,5968.0,BANCO COMAFI S.A.,,No,17:00:02,6060.0,5910.5,4997067,4979.5,5982.7174,6016.4318,6350.0,BIIB,-1,Pesos,6028.0,1.01,48hs,834
7513.0,2,1,70,7678.5,BANCO COMAFI S.A.,,No,17:00:02,7650.0,7505.0,2750223,7500.0,7562.1929,7570.3431,7850.0,BIOX,1,Pesos,7630.5,-0.63,48hs,364
26.0,2,31,3,26.0,,,No,17:00:02,26.0,26.0,546,24.2,26.0,26.0,29.2,BIOXD,0,Du00f3lar efectivo,26.0,0.0,48hs,21
1419.0,10,16,36,1434.5,Caja de Valores S.A.,,No,17:00:02,1486.0,1385.0,765428,1300.0,1437.7639,1441.5708,1486.0,BITF,1,Pesos,1480.0,3.17,48hs,537
0.0,1053,2,,0.0,,,No,,0.0,0.0,0,4.93,0.0,0.0,10.5,BITFD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
5870.0,100,2,7,6244.0,BANCO COMAFI S.A.,,No,17:00:01,5890.0,5771.5,151561,5735.0,5827.1429,5809.6148,6432.0,BK,-1,Pesos,5777.0,-7.48,48hs,26
0.0,7,1150,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,6748.0,0.0,0.0,7119.0,BMY,0,Pesos,0.0,0.0,48hs,0
5348.0,1,6,62,5261.5,BANCO COMAFI S.A.,,No,17:00:01,5421.5,5153.5,44812960,4550.0,5288.1532,5316.2316,5480.0,BNG,-1,Pesos,5400.0,2.63,48hs,8594
18.15,280,5,1,18.9,,,No,17:00:02,18.15,18.15,36,18.35,18.15,18.15,19.5,BNGD,0,Du00f3lar efectivo,18.15,-3.97,48hs,2
1834.0,3,5,40,1835.0,BANCO COMAFI S.A.,,No,17:00:01,1852.0,1814.0,1045717,1784.5,1833.7,1838.6825,1854.0,BP,0,Pesos,1851.0,0.87,48hs,570
0.0,16,228,,0.0,,,No,,0.0,0.0,0,6.0,0.0,0.0,7.0,BPD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2497.0,3820,1,9,2497.0,BANCO COMAFI S.A.,,No,17:00:02,2509.5,2428.0,152560,2473.0,2466.5,2477.7076,3100.0,BRFS,-1,Pesos,2501.5,0.18,48hs,62
3781.0,2,2,284,3712.5,BANCO COMAFI S.A.,,No,17:00:02,3781.0,3693.0,22777828,3650.0,3713.9173,3711.0979,3850.0,BRKB,-1,Pesos,3700.0,-0.34,48hs,6141
12.8,5,8,16,13.3,,,No,17:00:02,13.05,12.7,2433,12.0,12.825,12.7997,14.5,BRKBD,-1,Du00f3lar efectivo,12.7,-4.51,48hs,190
1757.5,2155,30,7,1767.5,BANCO COMAFI S.A.,,No,17:00:01,1767.5,1748.0,36897,1736.5,1756.5,1755.2606,1768.5,BSBR,-1,Pesos,1752.5,-0.85,48hs,21
4155.0,1203,4,137,4132.0,BANCO COMAFI S.A.,,No,17:00:01,4245.0,4130.0,37823825,4152.5,4187.9891,4206.1778,4738.0,C,1,Pesos,4188.0,1.36,48hs,9013
14.3,20,5,4,14.5,,,No,17:00:02,14.95,14.3,145,14.0,14.4625,14.625,17.9,C.D,1,Du00f3lar efectivo,14.95,3.1,48hs,10
8825.0,550,550,3,8726.5,BANCO COMAFI S.A.,,No,17:00:02,8996.0,8825.0,402034,8840.0,8906.3333,8942.0,8904.0,CAAP,1,Pesos,8996.0,3.09,48hs,45
0.0,1680,1680,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,6963.0,0.0,0.0,6986.5,CAH,0,Pesos,0.0,0.0,48hs,0
0.0,2630,2630,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,3368.5,0.0,0.0,3388.0,CAJ,0,Pesos,0.0,0.0,48hs,0
54440.5,68,1,1,55945.0,BANCO COMAFI S.A.,,No,17:00:01,54440.5,54440.5,1361012,55500.0,54440.5,54440.5,75216.0,CAR,0,Pesos,54440.5,-2.69,48hs,25
11284.0,20,4,26,10978.5,BANCO COMAFI S.A.,,No,17:00:01,11284.0,10928.0,994996,11025.0,11069.8462,11071.9698,12000.0,CAT,1,Pesos,11098.0,1.09,48hs,90
0.0,3,3,,0.0,,,No,,0.0,0.0,0,36.0,0.0,0.0,40.0,CATD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
0.0,3316,1,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1127.5,0.0,0.0,1205.0,CBRD,0,Pesos,0.0,0.0,48hs,0
1094.0,2,5,5,1072.0,BANCO COMAFI S.A.,,No,17:00:01,1120.0,1094.0,59654,750.0,1106.8,1110.0071,1215.0,CDE,1,Pesos,1120.0,4.48,48hs,54
7107.5,540,1,9,7085.0,BANCO COMAFI S.A.,,No,17:00:01,7139.0,7077.5,305880,7029.0,7111.5556,7107.6226,9100.0,CL,-1,Pesos,7077.5,-0.11,48hs,43
809.5,100,2,225,791.0,BANCO COMAFI S.A.,,No,17:00:02,809.5,771.5,17319581,672.0,791.98,795.9816,875.0,COIN,-1,Pesos,797.0,0.76,48hs,21830
2.69,5,3,1,2.7,,,No,17:00:02,2.69,2.69,16,2.55,2.69,2.69,3.05,COIND,0,Du00f3lar efectivo,2.69,-0.37,48hs,6
12045.0,1,770,19,12016.0,BANCO COMAFI S.A.,,No,17:00:01,12072.0,11979.0,2408003,11970.0,12033.7105,12028.9655,11989.5,COST,1,Pesos,11998.5,-0.15,48hs,200
0.0,1,0,,0.0,,,No,,0.0,0.0,0,41.0,0.0,0.0,0.0,COSTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7225.5,1,14,32,7259.0,BANCO COMAFI S.A.,,No,17:00:02,7362.0,7175.0,11039568,7250.0,7278.6406,7316.9599,8788.0,CRM,-1,Pesos,7317.5,0.81,48hs,1515
0.0,210,6,,0.0,,,No,,0.0,0.0,0,24.85,0.0,0.0,26.0,CRMD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1305.5,29,1,13,1293.0,BANCO COMAFI S.A.,,No,17:00:01,1323.0,1301.0,204335,1232.0,1309.7308,1315.7528,1427.0,CS,-1,Pesos,1322.5,2.28,48hs,155
2424.0,1,17,20,2415.5,BANCO COMAFI S.A.,,No,17:00:01,2436.0,2416.0,288878,2400.0,2424.6,2424.1866,2700.0,CSCO,-1,Pesos,2423.0,0.31,48hs,119
0.0,15,50,,0.0,,,No,,0.0,0.0,0,7.92,0.0,0.0,14.0,CSCOD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
6018.0,1,2,84,6010.0,BANCO COMAFI S.A.,,No,17:00:01,6118.0,5980.5,5741907,5500.0,6048.256,6073.3723,6200.0,CVX,-1,Pesos,6078.0,1.13,48hs,949
20.65,5,26,6,21.0,,,No,17:00:02,21.0,20.45,1156,19.75,20.725,20.6488,22.0,CVXD,1,Du00f3lar efectivo,20.6,-1.9,48hs,56
1048.0,1,7,2,1026.0,BANCO COMAFI S.A.,,No,17:00:01,1048.0,1048.0,10480,1000.0,1048.0,1048.0,1516.0,CX,0,Pesos,1048.0,2.14,48hs,10
0.0,1200,2690,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,3152.0,0.0,0.0,3187.0,DD,0,Pesos,0.0,0.0,48hs,0
11165.0,1000,1000,20,11165.0,BANCO COMAFI S.A.,,No,17:00:01,11165.0,11038.0,5595184,11098.0,11098.125,11101.2196,11154.0,DE,-1,Pesos,11131.0,-0.3,48hs,504
0.0,130,0,,0.0,,,No,,0.0,0.0,0,37.8,0.0,0.0,0.0,DED,0,Du00f3lar efectivo,0.0,0.0,48hs,0
8485.0,1030,1030,3,8388.5,BANCO COMAFI S.A.,,No,17:00:01,8558.5,8485.0,25582,8524.5,8527.3333,8539.5833,8553.5,DEO,1,Pesos,8558.5,2.03,48hs,3
1832.0,1,30,59,1854.5,BANCO COMAFI S.A.,,No,17:00:02,1889.5,1832.0,772561,1847.0,1867.178,1868.8002,1980.0,DESP,-1,Pesos,1851.0,-0.19,48hs,414
0.0,20,4,,0.0,,,No,,0.0,0.0,0,6.05,0.0,0.0,14.0,DESPD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
4461.0,2,1,264,4465.5,Caja de Valores S.A.,,No,17:00:02,4581.0,4461.0,74472747,4450.0,4502.589,4505.4008,5000.0,DIA,-1,Pesos,4511.0,1.02,48hs,16572
15.35,10,10,7,15.85,,,No,17:00:02,15.5,14.85,1090,14.65,15.2286,15.1934,16.2,DIAD,-1,Du00f3lar efectivo,15.1,-4.73,48hs,71
7115.0,14,2,187,7118.0,BANCO COMAFI S.A.,,No,17:00:01,7240.5,7089.0,19446240,7000.0,7170.893,7192.424,7300.0,DISN,-1,Pesos,7198.5,1.13,48hs,2712
24.65,47,4,9,24.95,,,No,17:00:02,24.8,24.5,1182,24.45,24.6611,24.6812,32.0,DISND,0,Du00f3lar efectivo,24.7,-1.0,48hs,48
0.0,1,0,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,250.0,0.0,0.0,0.0,DJNJ3,0,Pesos,0.0,0.0,48hs,0
631.5,6,11,34,620.5,BANCO COMAFI S.A.,,No,17:00:02,639.0,610.0,1187626,600.0,627.0294,629.1881,800.0,DOCU,1,Pesos,635.5,2.42,48hs,1927
0.0,49,0,,0.0,,,No,,0.0,0.0,0,2.07,0.0,0.0,0.0,DOCUD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2267.0,1,3490,12,2267.0,BANCO COMAFI S.A.,,No,17:00:02,2270.5,2242.5,388212,2030.0,2257.3333,2255.6987,2253.0,DOW,1,Pesos,2254.0,-0.57,48hs,172
0.0,6,0,,0.0,,,No,,0.0,0.0,0,7.5,0.0,0.0,0.0,DOWD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
0.0,4950,4950,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1687.0,0.0,0.0,1701.0,E,0,Pesos,0.0,0.0,48hs,0
2615.0,2,2,2,2599.5,BANCO COMAFI S.A.,,No,17:00:02,2615.0,2613.5,10455,2022.0,2614.25,2613.8,3130.0,EA,-1,Pesos,2613.5,0.54,48hs,4
0.0,588,5,,0.0,,,No,,0.0,0.0,0,8.85,0.0,0.0,9.9,EAD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
5605.0,3,2,7,5649.0,BANCO COMAFI S.A.,,No,17:00:01,5704.0,5605.0,744889,5649.0,5656.0714,5676.9625,7000.0,EBAY,0,Pesos,5703.5,0.96,48hs,132
0.0,2,40,,0.0,,,No,,0.0,0.0,0,19.2,0.0,0.0,28.0,EBAYD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
0.0,850,850,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,10289.0,0.0,0.0,10342.0,EBR,0,Pesos,0.0,0.0,48hs,0
2140.0,15,5,52,2117.0,Caja de Valores S.A.,,No,17:00:02,2140.0,2107.0,986380,2000.0,2125.1538,2126.5056,2930.0,EEM,1,Pesos,2135.5,0.87,48hs,465
0.0,25,7,,0.0,,,No,,0.0,0.0,0,7.0,0.0,0.0,8.3,EEMD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
3140.0,10,2680,6,3351.5,BANCO COMAFI S.A.,,No,17:00:02,3148.0,3140.0,81800,3148.0,3142.6667,3145.8182,3180.5,EFX,0,Pesos,3148.0,-6.07,48hs,26
0.0,10,0,,0.0,,,No,,0.0,0.0,0,10.3,0.0,0.0,0.0,EFXD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
0.0,1550,1550,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,5464.0,0.0,0.0,5494.5,ELP,0,Pesos,0.0,0.0,48hs,0
0.0,57,10,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,879.5,0.0,0.0,1300.0,ERIC,0,Pesos,0.0,0.0,48hs,0
2695.0,50,1,23,2810.0,BANCO COMAFI S.A.,,No,17:00:02,2762.0,2695.0,1891707,2693.5,2736.6739,2746.6661,3569.5,ERJ,-1,Pesos,2736.5,-2.62,48hs,692
0.0,11,1,,0.0,,,No,,0.0,0.0,0,8.99,0.0,0.0,37.7,ERJD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1979.0,100,1,14,2017.0,BANCO COMAFI S.A.,,No,17:00:02,2049.5,1979.0,391264,2027.5,2016.3214,2026.5189,2318.0,ETSY,1,Pesos,2039.5,1.12,48hs,195
6.75,16,1,1,6.77,,,No,17:00:02,6.75,6.75,472,6.65,6.75,6.75,8.37,ETSYD,0,Du00f3lar efectivo,6.75,-0.3,48hs,70
4870.0,5,1,93,4835.0,Caja de Valores S.A.,,No,17:00:02,4870.0,4754.0,6631460,3999.0,4816.1989,4824.9498,5417.0,EWZ,1,Pesos,4838.0,0.06,48hs,1379
16.35,31,1,2,16.9,,,No,17:00:02,16.35,16.35,130,16.0,16.35,16.35,16.6,EWZD,0,Du00f3lar efectivo,16.35,-3.25,48hs,8
3507.5,1,2,29,3545.0,Caja de Valores S.A.,,No,17:00:02,3599.5,3500.0,1380413,2500.0,3555.8276,3569.4246,4581.0,F,1,Pesos,3572.5,0.78,48hs,389
